# Code	Name	r	g	b
J	0	0	0
A	1	0	0
K	0	1	0
L	0	0	1
B	0.6	0	0
D	0	0.6	0
Y	0	0	0.4
V	1	0.6	0.6
T	0.6	1	0.6
M	0.6	0.6	1
N	0.6	0.3	0.3
Z	0.3	0.6	0.3
W	0.3	0.3	0.4
U	1	1	0
O	1	0	1
X	0	1	1
C	0.6	0.6	0
G	0.6	0	0.6
E	0	0.6	0.6
F	1	0.6	0.3
H	1	0.3	0.6
I	0.6	1	0.3
P	0.3	1	0.6
Q	0.6	0.3	1
R	0.3	0.6	1
S	0.5	0.5	0.5
